index,time,x,y,z,roll,pitch,yaw
27,1.345,0.160186767578125,-0.054901123046875,-0.982879638671875,-0.0029385320376604795,-0.00005219795639277436,-0.003745736088603735
28,1.395,0.1553192138671875,-0.066864013671875,-0.9846038818359375,-0.0033305492252111435,-0.0002671150432433933,-0.003914047963917255
29,1.445,0.1559295654296875,-0.0617218017578125,-0.98455810546875,-0.0029055087361484766,-0.0001882854849100113,-0.003126551164314151
30,1.495,0.15972900390625,-0.0630340576171875,-0.985107421875,-0.002826412906870246,0.0008625978953205049,-0.004625111818313599
31,1.545,0.1537933349609375,-0.06268310546875,-0.9833831787109375,-0.0019060244085267186,0.0007520766812376678,-0.0037742317654192448
32,1.594,0.15753173828125,-0.0643310546875,-0.98468017578125,-0.0016229304019361734,-0.000027696874894900247,-0.004092745948582888
33,1.644,0.1563568115234375,-0.0608367919921875,-0.9844970703125,-0.0023371900897473097,0.0004111920716241002,-0.0013073458103463054
34,1.694,0.15625,-0.0633544921875,-0.9831390380859375,-0.0017233315156772733,0.0002769687562249601,-0.004600610584020615
35,1.744,0.15643310546875,-0.06280517578125,-0.9846954345703125,-0.002231995342299342,0.0007613977650180459,-0.003309244057163596
36,1.794,0.156951904296875,-0.0620574951171875,-0.98388671875,-0.002094309777021408,-0.0006072007236070931,-0.0036754286848008633
37,1.844,0.15631103515625,-0.0619964599609375,-0.984893798828125,-0.0022471752017736435,-0.00047857005847617984,-0.003376621985808015
38,1.893,0.1573638916015625,-0.0621490478515625,-0.9839630126953125,-0.0014966964954510331,-0.0008407599525526166,-0.00344586418941617
39,1.943,0.1578521728515625,-0.0614776611328125,-0.9842529296875,-0.0029883331153541803,0.0002990729990415275,-0.0022234732750803232
40,1.993,0.1555633544921875,-0.061767578125,-0.9846343994140625,-0.0024176177103072405,0.0006996124284341931,-0.001449292292818427
41,2.043,0.1574859619140625,-0.0627593994140625,-0.985015869140625,0.000012783173588104546,0.0008823052630759776,-0.003425091505050659
42,2.093,0.1555023193359375,-0.061920166015625,-0.985321044921875,-0.0005390237784013152,0.000853809411637485,-0.0035278894938528538
43,2.143,0.1571044921875,-0.062774658203125,-0.9843292236328125,-0.0016056197928264737,-0.0005102616851218045,-0.004717257339507341
44,2.192,0.1571197509765625,-0.0607147216796875,-0.9841156005859375,-0.0017249294323846698,-0.000847950461320579,-0.0014554174849763513
45,2.242,0.1556243896484375,-0.0633087158203125,-0.9839935302734375,-0.0019859191961586475,-0.00015472965606022626,-0.003343865042552352
46,2.292,0.1570281982421875,-0.062286376953125,-0.98504638671875,-0.0010287790792062879,0.0014287859667092562,-0.004294879734516144
