index,time,acc x,acc y,acc z,gyro x,gyro y,gyro z,mag x,mag y,mag z
53,2.641,0.358367919921875,-0.116729736328125,0.9068603515625,-0.1742202639579773,2.772508382797241,0.2429833561182022,409.53582763671875,12.993072509765625,-263.83978271484375
54,2.691,0.37835693359375,-0.135162353515625,0.7177734375,0.11847418546676636,3.224679470062256,0.7436320781707764,406.324462890625,12.341659545898438,-260.732421875
55,2.741,0.0285797119140625,-0.112060546875,0.8841552734375,0.6948639750480652,3.1416711807250977,0.2746374309062958,401.889404296875,12.47332763671875,-258.0575256347656
56,2.791,0.0887908935546875,-0.057891845703125,1.0020904541015625,0.5253559350967407,1.3713444471359253,0.2579684257507324,398.3670654296875,12.978256225585938,-255.7811737060547
57,2.841,-0.0288543701171875,0.009124755859375,1.0281829833984375,0.5894595384597778,1.4486110210418701,0.12473154813051224,397.290771484375,13.821212768554688,-254.74789428710938
58,2.89,-0.0482025146484375,-0.045318603515625,1.1230316162109375,0.12601199746131897,-0.04421859234571457,0.13536794483661652,396.5355224609375,14.750335693359375,-254.21022033691406
59,2.94,-0.095703125,-0.148651123046875,1.0651397705078125,0.16826383769512177,-1.5050036907196045,-0.1793479174375534,397.622314453125,14.196578979492188,-254.36326599121094
60,2.99,0.4825897216796875,-0.0292816162109375,1.015655517578125,0.18397969007492065,-3.0392374992370605,0.12023293226957321,400.48431396484375,13.444183349609375,-254.84152221679688
61,3.04,0.34783935546875,-0.0385894775390625,1.2378997802734375,0.1879776269197464,-5.0102362632751465,0.2767956554889679,403.97967529296875,13.456344604492188,-256.75909423828125
62,3.09,0.305877685546875,-0.0778045654296875,0.89215087890625,-0.5759479999542236,-6.042776584625244,0.17761926352977753,408.6746826171875,12.021957397460938,-261.00848388671875
63,3.14,0.8759918212890625,-0.089630126953125,0.4304046630859375,0.042211104184389114,-4.745535850524902,0.02383049763739109,413.9327697753906,10.919769287109375,-266.15191650390625
64,3.19,0.716278076171875,-0.050201416015625,0.7627716064453125,0.08062773197889328,-7.28016471862793,0.6873543858528137,417.8983459472656,10.474212646484375,-272.3814697265625
65,3.239,0.9503021240234375,-0.0267333984375,0.1481475830078125,-0.12517575919628143,-4.970839977264404,0.20455500483512878,421.6505126953125,7.6949462890625,-282.8197937011719
66,3.289,0.9517059326171875,-0.054840087890625,0.0367584228515625,-0.3609803020954132,-6.502109050750732,0.10048080235719681,421.895751953125,8.200363159179688,-290.328125
67,3.339,0.9797515869140625,-0.083526611328125,-0.3775177001953125,0.2434949427843094,-5.654140949249268,0.6188978552818298,420.80224609375,8.169479370117188,-300.69598388671875
68,3.389,0.62994384765625,-0.1629180908203125,-0.4743194580078125,-0.33528026938438416,-5.423579692840576,0.09232886135578156,415.651123046875,8.781265258789062,-308.05712890625
69,3.439,0.750213623046875,-0.0537109375,-0.8702239990234375,-0.33489570021629333,-4.756763458251953,0.11949976533651352,409.63543701171875,8.995101928710938,-314.8602294921875
70,3.489,0.5147857666015625,-0.10906982421875,-0.9465179443359375,0.08551729470491409,-3.058882474899292,0.5184484720230103,402.9524230957031,10.1036376953125,-319.9483642578125
71,3.538,0.2231597900390625,-0.1094970703125,-0.9152679443359375,0.6685000061988831,-6.684783458709717,0.9019780158996582,397.24188232421875,9.800521850585938,-321.6303405761719
72,3.588,-0.060577392578125,-0.1521453857421875,-0.7345733642578125,0.30755701661109924,-2.110734701156616,0.6658528447151184,386.25714111328125,9.899429321289062,-321.800048828125
73,3.638,-0.230682373046875,-0.194671630859375,-1.12457275390625,0.03497476130723953,-5.098371505737305,0.852748453617096,380.8212890625,10.08026123046875,-320.5364990234375
74,3.688,-0.4429473876953125,-0.1392059326171875,-0.9248046875,-0.0796482264995575,-2.355463981628418,0.6025028824806213,371.38092041015625,12.384429931640625,-316.7103576660156
75,3.738,-0.3827056884765625,-0.15191650390625,-0.91839599609375,0.04477519541978836,-2.201179265975952,0.7968846559524536,366.8353271484375,13.465011596679688,-313.58294677734375
76,3.788,-0.6496124267578125,-0.0591278076171875,-0.7718505859375,-0.4207477569580078,-1.7655171155929565,0.9102420806884766,362.9643859863281,14.785202026367188,-310.56085205078125
77,3.837,-0.5991668701171875,-0.055816650390625,-0.8821563720703125,-0.015561116859316826,-1.884021282196045,0.750756025314331,359.6552429199219,17.131622314453125,-307.99127197265625
78,3.887,-0.8663330078125,-0.0425567626953125,-0.6654052734375,-0.08245812356472015,-1.769971489906311,0.49386483430862427,356.35748291015625,18.929718017578125,-304.8187255859375
79,3.937,-0.5185394287109375,-0.0479583740234375,-0.7241973876953125,-0.14526425302028656,-1.5646090507507324,0.5808146595954895,354.3418884277344,19.836273193359375,-302.23138427734375
80,3.987,-0.9512176513671875,0.031494140625,-0.4727630615234375,-0.09442397207021713,-1.510712742805481,0.6007830500602722,351.84246826171875,21.318099975585938,-299.41876220703125
81,4.037,-0.688323974609375,0.05084228515625,-0.4922637939453125,-0.03943076357245445,-1.5200554132461548,1.0013149976730347,349.57513427734375,22.189361572265625,-296.81658935546875
82,4.087,-1.0217132568359375,0.1688385009765625,-0.2094268798828125,-0.25080451369285583,-1.8109385967254639,0.9209210872650146,346.8088684082031,24.45904541015625,-292.5643310546875
83,4.136,-0.879608154296875,0.2153472900390625,-0.334014892578125,-0.47674018144607544,-1.5664044618606567,0.8983478546142578,344.50799560546875,27.166900634765625,-288.29241943359375
84,4.186,-0.9163665771484375,0.223724365234375,-0.2989349365234375,-0.6010075211524963,-1.363134741783142,0.9997088313102722,343.4395751953125,30.169952392578125,-283.0279235839844
85,4.236,-1.1013336181640625,0.08160400390625,0.1394805908203125,-0.14246021211147308,-2.6438777446746826,0.3886401653289795,342.8198547363281,33.1622314453125,-277.80596923828125
86,4.286,-0.9232635498046875,0.1823272705078125,-0.0039520263671875,-0.5962199568748474,-1.2249749898910522,0.28100690245628357,343.63818359375,34.821044921875,-271.4064636230469
87,4.336,-1.0343170166015625,0.2936553955078125,-0.07098388671875,0.47213611006736755,-2.0860071182250977,0.19506029784679413,347.4386291503906,34.175628662109375,-269.16339111328125
88,4.386,-0.9792938232421875,0.2715911865234375,0.2021026611328125,-0.12873134016990662,-1.804793119430542,-0.10896722972393036,351.2592468261719,33.51225280761719,-266.95916748046875
89,4.435,-1.0330657958984375,0.185455322265625,0.191192626953125,0.1767774373292923,-3.6004889011383057,-0.5776497721672058,355.01666259765625,31.943435668945312,-265.151611328125
90,4.485,-0.867767333984375,0.2516326904296875,0.420654296875,-0.16241927444934845,-2.3890719413757324,-0.6393948793411255,358.79656982421875,30.585891723632812,-261.1893615722656
