index,time,acc x,acc y,acc z,ori x,ori z,punch
150,10.788,0.209442138671875,-1.0128326416015625,-1.5399169921875,-0.9541137459593533,-0.7227747572441908,UpperCut
151,10.837,0.8235931396484375,-0.8896026611328125,-1.049041748046875,-0.9622282078076146,-0.7596585183544698,None
152,10.887,0.903045654296875,-0.499237060546875,-0.96728515625,-0.983982255234652,-0.8245944543949985,None
153,10.937,1.122467041015625,-0.3048095703125,-0.893157958984375,-0.9850261722400969,-0.8700191426813729,None
154,10.987,0.3864288330078125,-0.5637664794921875,-0.83148193359375,-0.827685419372318,-0.35901894257360245,None
155,11.037,0.3999176025390625,-0.59814453125,-1.3939208984375,-0.8378861472333943,-0.4310320661518061,None
156,11.087,1.0465545654296875,-0.3538360595703125,-1.41650390625,-0.8924370933930851,-0.5114612970006343,None
157,11.136,1.8097991943359375,-0.2171173095703125,-1.242095947265625,-0.9162349656310282,-0.5766071124467578,None
158,11.445,-2.327789306640625,0.3382415771484375,1.361236572265625,-0.881823615923996,-0.5017636500182918,None
159,11.495,-0.1210784912109375,0.096099853515625,-1.704925537109375,-0.9581828992894253,-0.5490710136580623,UpperCut
160,11.555,0.6280975341796875,-0.43865966796875,-1.9295501708984375,-0.9685811601285805,-0.5819806880562978,None
161,11.605,0.838897705078125,-0.719879150390625,-0.9645538330078125,-0.9509644421426054,-0.5897839621340822,None
162,11.655,0.9510650634765625,-0.470733642578125,-1.3033447265625,-0.9672599675169762,-0.6279583054273226,None
163,11.705,0.67431640625,-0.52197265625,-1.1915740966796875,-0.9606400826268517,-0.6523033572956425,None
164,11.754,0.471710205078125,-0.5735015869140625,-1.027252197265625,-0.9643907840435063,-0.6540871875574976,None
165,11.804,0.728759765625,-0.6383819580078125,-0.906768798828125,-0.967282636075161,-0.6523618936599362,None
166,11.854,0.7900848388671875,-0.4383087158203125,-1.3431549072265625,-0.9883765378155903,-0.6727985847578579,None
167,11.904,1.9989776611328125,-0.03759765625,-1.1876068115234375,-0.9987175355809732,-0.7146988642092074,None
168,12.203,-2.55657958984375,0.50128173828125,0.711151123046875,-0.98384364604584,-0.6709557478375973,None
169,12.293,1.2048492431640625,-0.406341552734375,-2.266693115234375,-0.9929595568608716,-0.7652479151656348,UpperCut
170,12.343,1.2947845458984375,-0.7145538330078125,-1.0831756591796875,-0.9864650692731457,-0.7975673812282741,None
171,12.392,0.8145294189453125,-0.68170166015625,-1.2958221435546875,-0.9803770892802478,-0.8216001036678544,None
172,12.442,0.8509063720703125,-0.43695068359375,-1.666839599609375,-0.9881016570912131,-0.8559842941663571,None
173,12.492,0.864410400390625,-0.234588623046875,-1.2042694091796875,-0.9713557359167926,-0.8939643944949948,None
174,12.542,0.2605438232421875,-0.36236572265625,-0.91796875,-0.9423097129403742,-0.8993134431685778,None
175,12.592,0.25323486328125,-0.245208740234375,-1.1440887451171875,-0.9242013183583798,-0.9182359183963735,None
176,12.642,0.2949371337890625,-0.177490234375,-1.0861663818359375,-0.9094343511181178,-0.9299573203501061,None
177,12.691,0.043182373046875,-0.17645263671875,-0.8371124267578125,-0.9133853719285497,-0.9283467303673889,None
178,12.741,0.6012725830078125,-0.09619140625,-0.809417724609375,-0.9338717799723074,-0.9365442161165577,None
179,12.791,0.983612060546875,-0.2285308837890625,-1.2926483154296875,-0.9680601216360113,-0.9270608691608654,None
180,13.008,-3.2026214599609375,0.8313140869140625,-6.5215606689453125,-0.9102435866218419,-0.9298767371607273,None
181,13.109,-2.4849090576171875,0.3521575927734375,1.8951873779296875,-0.9492381566113626,-0.9281568822430052,None
182,13.159,-0.42547607421875,0.18646240234375,-0.996185302734375,-0.9865261590937837,-0.9070814707139219,None
183,13.209,0.106903076171875,-0.5488128662109375,-1.6703338623046875,-0.9764767767681127,-0.8619671182676898,UpperCut
184,13.258,0.0165557861328125,-1.2987518310546875,-0.8539276123046875,-0.9876992798384677,-0.8187668686400548,None
185,13.308,0.240997314453125,-1.064178466796875,-1.6816253662109375,-0.9983259971836524,-0.7972272560574192,None
186,13.358,0.21820068359375,-0.88970947265625,-1.9001922607421875,-0.9957394093601672,-0.7867892996570106,None
187,13.408,0.1656646728515625,-1.0213470458984375,-1.0632476806640625,-0.9986449647977258,-0.7991946293420472,None
188,13.458,0.499664306640625,-0.7010345458984375,-1.0105743408203125,-0.9999610404974775,-0.8335804857980672,None
189,13.508,0.2025299072265625,-0.5148162841796875,-1.093536376953125,-0.9991113234329884,-0.890673257643904,None
190,13.558,0.2722320556640625,-0.1725616455078125,-0.940155029296875,-0.9994747030043345,-0.9338404234770016,None
191,13.607,0.244384765625,-0.1914825439453125,-0.72821044921875,-0.9993390006029955,-0.9643337564858018,None
192,13.657,0.4752655029296875,-0.0342864990234375,-0.6930694580078125,-0.9971236088774665,-0.9808331323596123,None
193,13.707,0.5809173583984375,-0.095855712890625,-0.8991851806640625,-0.9917904174152978,-0.9870414853363724,None
194,13.757,0.983367919921875,-0.205291748046875,-1.1856536865234375,-0.9800643638905266,-0.9864524582837692,None
195,13.807,1.1379852294921875,-0.5617218017578125,-1.5151824951171875,-0.970702867152668,-0.9813067754914596,None
196,14.097,-2.018951416015625,-0.11138916015625,0.600738525390625,-0.9530108124402394,-0.9601629937561612,None
197,14.147,-0.4748687744140625,-0.29888916015625,-1.0545501708984375,-0.9216432644367103,-0.9455206077229064,UpperCut
198,14.247,0.21966552734375,-0.58984375,-1.9372711181640625,-0.9149300604835678,-0.9324891133591453,None
199,14.316,0.5732879638671875,-0.1966705322265625,-1.91973876953125,-0.904924373755156,-0.9607460121352058,None
200,14.366,0.543487548828125,-0.3814544677734375,-1.5520477294921875,-0.8984399371522229,-0.9715319322555586,None
201,14.416,1.2190093994140625,-0.2920379638671875,-1.3092041015625,-0.871724682139352,-0.9866632623829735,None
202,14.466,1.6554412841796875,-0.3560791015625,-1.1865386962890625,-0.8391522907537716,-0.9944292583046247,None
203,14.785,-2.141326904296875,-0.2343597412109375,0.2707977294921875,-0.8328954760392517,-0.9846532479891841,None
204,14.914,0.640869140625,-0.5045928955078125,-1.98968505859375,-0.8445839149345241,-0.9905213024887151,UpperCut
205,14.964,1.018798828125,-0.364227294921875,-1.5237884521484375,-0.8350349647698371,-0.9978049968480988,None
206,15.014,1.2570648193359375,-0.1312103271484375,-1.2176971435546875,-0.866786737226006,-0.9996796633026028,None
