index,time,acc x,acc y,acc z,sin ori x,sin ori y,sin ori z,user input
46,2.293,-0.378082275390625,-0.771392822265625,-0.526336669921875,-0.5636197048441417,-0.021490753734621188,-0.37527384271575226,0
47,2.343,-0.3811187744140625,-0.7962493896484375,-0.5245819091796875,-0.5501533606134765,-0.02591192656970725,-0.37114805153489094,0
48,2.393,-0.3436279296875,-0.84283447265625,-0.3483123779296875,-0.38193353008748504,-0.031104131948673907,-0.3525972026945192,0
49,2.443,-0.380157470703125,-0.85662841796875,-0.382415771484375,-0.407644059138237,-0.0157325941948535,-0.3755708806836595,0
50,2.492,-0.2141876220703125,-0.80291748046875,-0.3541717529296875,-0.4035862674434525,-0.034415325888981003,-0.23711107073872,0
51,2.542,-0.2579345703125,-0.8352508544921875,-0.5786285400390625,-0.5694613976284008,-0.08695415935643004,-0.24604448084275496,0
52,2.592,-0.270965576171875,-0.8925018310546875,-0.6429901123046875,-0.5356410113382069,-0.14639807613975206,-0.28056882066124356,0
53,2.642,-0.3535003662109375,-0.9844818115234375,-0.5762176513671875,-0.5020393479395399,-0.18271706676273877,-0.3171297053447308,0
54,2.692,-0.0701904296875,-0.7987518310546875,-0.253997802734375,-0.3030405933317427,-0.18453713205721253,-0.08345093991829372,0
55,2.742,0.25372314453125,-0.5835113525390625,-0.04449462890625,-0.07603250880773671,-0.22966694264771276,0.3977845273244674,0
56,2.792,-0.4188690185546875,-1.0325927734375,-0.244354248046875,-0.06275010860676114,-0.3236895941149143,0.42794176533836653,0
57,2.841,-0.75994873046875,-1.2091217041015625,-1.015625,-0.03849030837396522,-0.31702128252044587,0.39037401997506377,0
58,2.891,0.0350494384765625,-0.7765960693359375,-0.115814208984375,-0.14749939459524083,-0.31903455627644856,0.04459407923804356,0
59,2.941,0.2158355712890625,-0.99017333984375,0.09454345703125,0.09504943508985728,-0.43515733701974824,0.21205578408668083,0
60,3.016,-0.2688751220703125,-2.2239837646484375,-0.2916259765625,0.3357065363212568,-0.5217610909747148,0.16561405508358323,0
61,3.066,1.8394927978515625,-0.340484619140625,0.4072418212890625,0.5965660586231964,-0.5711147526681386,0.0015995261274375778,0
62,3.325,-2.3707427978515625,1.1740264892578125,-0.36083984375,0.47180782007401373,-0.7394818968680285,-0.07704675074948127,1
