index,time,acc x,acc y,acc z,ori x,ori z,punch
35,1.905,0.094757080078125,-1.158538818359375,-0.12396240234375,0.2468648328097993,-0.6925590571939035,None
36,1.955,0.04742431640625,-0.90362548828125,-0.12725830078125,-0.13945466611554494,-0.05189939845567517,None
37,2.005,0.0361175537109375,-0.8274078369140625,-0.193695068359375,-0.22793626265966005,-0.04246403654354739,None
38,2.055,0.01318359375,-0.93719482421875,-0.08087158203125,-0.08597162496502202,-0.014013620764327866,None
39,2.104,-0.1305694580078125,-1.0201873779296875,-0.147613525390625,-0.1432013000371959,0.12566260422863848,None
40,2.154,-0.1943206787109375,-1.043243408203125,-0.3587493896484375,-0.17347491708849547,0.1269823552606535,None
41,2.204,0.0787506103515625,-0.9274444580078125,-0.06195068359375,-0.06664866673679255,-0.08442016438712725,None
42,2.254,0.05694580078125,-0.8964385986328125,0.0063934326171875,0.007131854908028451,-0.06339509422137249,None
43,2.304,-0.0130615234375,-0.9820556640625,-0.3330535888671875,-0.32117192780665027,0.012594555586752449,None
44,2.354,-0.2056732177734375,-1.1588287353515625,-0.747344970703125,-0.2623459113886293,0.02210412834459432,None
45,2.403,-0.2750244140625,-1.240264892578125,-0.435516357421875,-0.16223398121401228,0.0028365971022784606,None
46,2.453,0.088897705078125,-1.693603515625,-0.5419921875,-0.021157827666707665,-0.02623515585606231,None
47,2.503,1.4221343994140625,-1.5703582763671875,-0.117767333984375,0.22672045666219512,-0.05224877326211407,None
48,2.613,2.1492919921875,1.72821044921875,0.0348358154296875,0.4638853975317288,0.12964014948368366,None
49,2.762,-1.9902801513671875,1.1248016357421875,1.8384246826171875,0.3928516186562794,-0.07979792135373209,None
50,2.812,-1.0763397216796875,0.4892578125,-0.0757598876953125,0.2384121698824045,-0.26616107178294324,None
51,2.862,0.17889404296875,-0.11920166015625,0.488616943359375,0.10609315803265543,-0.4378080353600283,Straight
52,2.912,1.0361480712890625,-0.3479156494140625,0.904083251953125,-0.08472331847054786,-0.5722210364834752,None
53,2.962,1.475372314453125,-0.4669952392578125,0.4373321533203125,-0.28482972655463634,-0.6472223567344134,None
54,3.011,1.049835205078125,-0.7206573486328125,0.58050537109375,-0.45605378619118175,-0.6282054308941426,None
55,3.061,0.679168701171875,-0.865142822265625,0.4175872802734375,-0.6034136863968316,-0.6159335686653604,None
56,3.111,0.305999755859375,-1.4916839599609375,-0.2977752685546875,-0.7283695444946756,-0.5765752780535623,None
57,3.19,-0.1317138671875,-2.2217559814453125,-0.7028350830078125,-0.5242663252307476,-0.5979073653698739,None
58,3.239,1.1493377685546875,-0.7115478515625,0.4608917236328125,-0.15114791929793214,-0.5921003328187635,None
59,3.52,-2.1314697265625,1.4629669189453125,-0.074005126953125,-0.4827747564065426,-0.7476438425946317,None
60,3.57,-0.7758636474609375,0.2161102294921875,0.756378173828125,-0.6215778435614004,-0.8545870837021589,Straight
61,3.62,0.08294677734375,-0.09515380859375,0.628082275390625,-0.7682008910514773,-0.9322871425144466,None
62,3.669,0.94134521484375,-0.3472900390625,0.504974365234375,-0.9078004758246018,-0.9836588641621976,None
63,3.719,1.4486846923828125,-0.3655242919921875,0.3475799560546875,-0.9772784857806083,-0.9996493798287397,None
64,3.769,1.2454376220703125,-0.859527587890625,0.61822509765625,-0.9823055509114342,-0.9994297434203893,None
65,3.819,0.660186767578125,-1.0134735107421875,0.61126708984375,-0.9796568523295126,-0.9989586667532382,None
66,3.869,0.4499053955078125,-0.83160400390625,0.128692626953125,0.1529319005095562,-0.4714886466128193,None
67,3.919,0.2466583251953125,-0.738250732421875,0.2706756591796875,0.3442364028631143,-0.299310937016155,None
68,3.968,0.0343017578125,-0.492523193359375,0.6716766357421875,0.8064277099324861,-0.041148460599648905,None
69,4.018,0.315948486328125,-0.2967987060546875,0.7423248291015625,0.8150547751805006,-0.030486574128117533,None
70,4.068,-0.0042877197265625,-0.929412841796875,0.41046142578125,0.4039914368497304,0.004220096018040868,None
71,4.128,-0.8003387451171875,-1.992340087890625,0.2806396484375,0.36248341788901156,0.024410210003626198,None
72,4.178,-0.110198974609375,-0.9287567138671875,0.4516754150390625,0.4373465659904158,0.10610074952057338,None
73,4.228,0.57080078125,-0.1517333984375,0.6121826171875,0.4093211525434967,0.03757778305179606,None
74,4.277,0.4426727294921875,-0.4787139892578125,0.77142333984375,0.424251777785915,0.02803609884571207,None
75,4.327,0.1198577880859375,-1.24407958984375,0.40631103515625,0.4272461404335608,0.05833773416519185,None
76,4.386,-0.6582489013671875,-2.0738067626953125,0.7359466552734375,0.5241212616128593,0.011929218813791557,None
77,4.436,1.212310791015625,-0.746978759765625,0.7254180908203125,0.6111086229128319,-0.06187193014596688,None
78,4.517,2.796356201171875,1.3749847412109375,1.0413665771484375,0.7468305389131183,-0.024351265096833528,None
79,4.566,-2.319000244140625,2.0447540283203125,1.3492431640625,0.8879830755671283,0.23753081776723417,None
80,4.656,-0.42254638671875,2.474273681640625,0.0466156005859375,0.5992213204759691,-0.1065364061786166,None
81,4.706,0.753692626953125,-0.8150787353515625,0.6986541748046875,0.6651476058910673,-0.13553886462010842,None
82,5.003,-2.428466796875,0.9908447265625,1.0030059814453125,0.5532573555809115,-0.24213316967887888,Straight
83,5.055,-1.3033905029296875,0.7214813232421875,0.205780029296875,0.549434277649369,-0.386719772398308,Straight
84,5.105,-1.7183837890625,0.2991485595703125,1.7424774169921875,0.5317766279623276,-0.517642615391732,None
85,5.155,-0.3500518798828125,0.5718536376953125,0.938751220703125,0.4079096356992091,-0.6329987576418216,None
86,5.204,0.3398284912109375,-0.2418670654296875,0.3124542236328125,0.2310515444597566,-0.6945391119423923,None
