time,x,y,z,roll,pitch,yaw
17,0.848,0.0149383544921875,-0.0284271240234375,-1.0071563720703125,-0.04559411481022835,0.002656503114849329,0.0062485747039318085
18,0.897,0.0244293212890625,-0.0238800048828125,-0.9993743896484375,-0.009520800784230232,-0.006198507267981768,-0.0038069887086749077
19,0.947,0.013153076171875,-0.025848388671875,-1.000457763671875,-0.011154916137456894,-0.00018562232435215265,-0.007250722497701645
20,0.997,0.0192108154296875,-0.0212554931640625,-0.9951324462890625,-0.008314388804137707,-0.00056219327962026,-0.004474376793950796
21,1.047,0.0186004638671875,-0.0235748291015625,-0.9952239990234375,-0.03671540319919586,-0.006127400789409876,-0.011864116415381432
22,1.097,0.026153564453125,-0.026824951171875,-1.0094451904296875,0.008075237274169922,0.003489539958536625,0.008134892210364342
23,1.147,-0.0006866455078125,-0.0180511474609375,-1.0074310302734375,0.10314050316810608,-0.043899279087781906,-0.04069363325834274
24,1.196,0.0208740234375,-0.03228759765625,-0.987396240234375,0.02046479471027851,0.01570226438343525,-0.047865793108940125
25,1.246,-0.00836181640625,-0.02301025390625,-0.985321044921875,-0.034083668142557144,0.05747607722878456,-0.1096082553267479
26,1.296,0.086456298828125,-0.070343017578125,-0.9805145263671875,-0.1525069773197174,0.22618599236011505,-0.07166086882352829
27,1.346,0.0057525634765625,-0.05987548828125,-1.0081329345703125,-0.1525069773197174,0.22618599236011505,-0.07166086882352829
28,1.396,0.03887939453125,0.1212310791015625,-2.528656005859375,-1.6299879550933838,0.7804327011108398,-0.22070734202861786
29,1.446,0.0773162841796875,0.182891845703125,-2.8946685791015625,-0.8199214935302734,-0.989339292049408,-0.2629501521587372
30,1.495,-0.254913330078125,0.5931854248046875,-3.261505126953125,-0.07026377320289612,-1.98152494430542,-0.342207670211792
31,1.545,-0.429901123046875,0.569488525390625,-1.1441192626953125,2.1844685077667236,1.0724259614944458,-0.21241585910320282
32,1.595,0.3115692138671875,0.7339019775390625,-0.1222991943359375,2.253706455230713,0.7572277784347534,0.5903034806251526
33,1.645,-0.18536376953125,0.3040618896484375,1.2336578369140625,1.0793125629425049,0.3504248559474945,0.5127991437911987
34,1.695,0.1290283203125,-0.017852783203125,0.511505126953125,1.842466950416565,0.36163783073425293,-0.4097648859024048
35,1.745,-0.125701904296875,-0.5550689697265625,0.1624908447265625,0.2966367304325104,0.2720312476158142,0.3072419762611389
36,1.794,0.0713653564453125,-0.5120391845703125,-0.2473907470703125,-0.0375702790915966,-0.15549051761627197,-0.07954036444425583
37,1.844,-0.021484375,-0.47161865234375,-1.041748046875,-0.537298321723938,0.07816111296415329,-0.15615178644657135
38,1.894,0.12591552734375,-0.409912109375,-1.0787353515625,-0.02796931564807892,0.13024242222309113,-0.052980925887823105
39,1.944,-0.0140228271484375,-0.220672607421875,-1.1965179443359375,0.12721814215183258,0.16605395078659058,-0.18336263298988342
40,1.994,0.0830230712890625,-0.252838134765625,-0.9281005859375,0.35016679763793945,-0.11723661422729492,-0.05866038426756859
